hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
0,0.0,134974.98266896445,102.3109075104237,13.551460410260884,19.112614748279828,32.66407515854071,0.09430580644564235,0.13028336361613302,4.132215040953713
1,0.041666666666666664,137568.53458976204,104.27681738086976,13.81185248797534,19.479864720916893,33.29171720889224,0.0961178978466787,0.13278676581165919,4.132215040953712
2,0.08333333333333333,139198.90948503758,105.51263998902638,13.97554179106195,19.710727704949218,33.686269496011164,0.09725702612265545,0.13436047022051806,4.132215040953713
3,0.125,139755.0,105.93415606644113,14.031373164024723,19.78947076953413,33.820843933558855,0.09764556156406332,0.13489723148791544,4.132215040953712
4,0.16666666666666666,139198.90948503758,105.51263998902638,13.97554179106195,19.710727704949218,33.686269496011164,0.09725702612265545,0.13436047022051806,4.132215040953713
5,0.20833333333333334,137568.53458976204,104.27681738086976,13.81185248797534,19.479864720916893,33.29171720889224,0.0961178978466787,0.13278676581165919,4.132215040953712
6,0.25,134974.98266896445,102.3109075104237,13.551460410260884,19.112614748279828,32.66407515854071,0.09430580644564235,0.13028336361613302,4.132215040953713
7,0.2916666666666667,131595.0,99.74888388653945,13.212110847696566,18.63400526576397,31.84611611346054,0.09194424295390442,0.12702086635649695,4.132215040953712
8,0.3333333333333333,127658.92681607313,96.76534418524044,12.816929912169474,18.0766527186632,30.893582630832675,0.08919414402075863,0.12322160782946351,4.132215040953712
9,0.375,123435.0,93.56361170663776,12.392848531368406,17.47853976199381,29.871388293362216,0.08624292434374552,0.11914450122507847,4.132215040953713
10,0.4166666666666667,119211.07318392686,90.36187922803508,11.96876715056734,16.88042680532442,28.849193955891757,0.0832917046667324,0.11506739462069342,4.132215040953713
11,0.4583333333333333,115275.0,87.37833952673608,11.57358621504025,16.323074258223652,27.8966604732639,0.08054160573358662,0.11126813609365999,4.132215040953713
12,0.5,111895.01733103555,84.81631590285181,11.23423665247593,15.844464775707793,27.078701428183724,0.07818004224184869,0.1080056388340239,4.132215040953712
13,0.5416666666666666,109301.46541023796,82.85040603240573,10.97384457476147,15.477214803070726,26.451059377832195,0.07636795084081233,0.10550223663849773,4.132215040953713
14,0.5833333333333334,107671.0905149624,81.61458342424912,10.810155271674862,15.2463518190384,26.05650709071326,0.07522882256483557,0.10392853222963885,4.132215040953713
15,0.625,107115.0,81.19306734683438,10.754323898712089,15.167608754453495,25.921932653165584,0.07484028712342772,0.1033917709622415,4.132215040953712
16,0.6666666666666666,107671.0905149624,81.61458342424912,10.810155271674862,15.2463518190384,26.05650709071326,0.07522882256483557,0.10392853222963885,4.132215040953713
17,0.7083333333333334,109301.46541023796,82.85040603240573,10.97384457476147,15.477214803070726,26.451059377832195,0.07636795084081233,0.10550223663849773,4.132215040953713
