hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
30,1.25,7.049999999999999,5.7,9.290047734928844,0.0,-105120.0,-5576.000000000001,0.0,-110696.0,18.0
31,1.2916666666666667,8.227626655216467,6.036464758633277,9.287479579177086,0.0,-93814.78410992192,-5423.469309419582,0.0,-99238.2534193415,18.0
32,1.3333333333333333,9.324999999999996,6.35,9.28491325619918,0.0,-83280.00000000004,-5281.333333333334,0.0,-88561.33333333337,18.0
33,1.375,10.267335854398787,6.619238815542511,9.282348767315344,0.0,-74233.57579777164,-5159.278403620729,0.0,-79392.85420139237,18.0
34,1.4166666666666667,10.990415587219196,6.8258330249197705,9.27978611384491,0.0,-67292.01036269571,-5065.622362036371,0.0,-72357.63272473209,18.0
35,1.4583333333333333,11.44496250961526,6.955703574175789,9.277225297106254,0.0,-62928.359907693506,-5006.747713040309,0.0,-67935.10762073382,18.0
36,1.5,11.6,7.0,9.274666318416816,0.0,-61440.0,-4986.666666666667,0.0,-66426.66666666667,18.0
37,1.5416666666666665,11.444962509615262,6.955703574175789,9.27210917909309,0.0,-62928.35990769348,-5006.747713040309,0.0,-67935.10762073379,18.0
38,1.5833333333333335,10.990415587219193,6.82583302491977,9.269553880450617,0.0,-67292.01036269576,-5065.622362036371,0.0,-72357.63272473213,18.0
39,1.625,10.26733585439879,6.619238815542511,9.26700042380395,0.0,-74233.57579777163,-5159.278403620729,0.0,-79392.85420139236,18.0
40,1.6666666666666665,9.325000000000006,6.350000000000001,9.264448810466837,0.0,-83279.99999999994,-5281.333333333333,0.0,-88561.33333333327,18.0
41,1.7083333333333335,8.227626655216469,6.036464758633278,9.261899041751931,0.0,-93814.7841099219,-5423.469309419581,0.0,-99238.25341934148,18.0
42,1.75,7.050000000000002,5.700000000000001,9.259351118970988,0.0,-105120.0,-5576.0,0.0,-110696.0,18.0
43,1.7916666666666665,5.872373344783533,5.363535241366724,9.25680504343481,0.0,-116425.21589007809,-5728.530690580419,0.0,-122153.74658065851,18.0
44,1.8333333333333335,4.774999999999997,5.049999999999999,9.254260816453252,0.0,-126960.00000000003,-5870.666666666667,0.0,-132830.6666666667,18.0
45,1.875,3.832664145601213,4.780761184457489,9.251718439335214,0.0,-136006.42420222834,-5992.721596379271,0.0,-141999.1457986076,18.0
46,1.9166666666666665,3.109584412780808,4.574166975080232,9.249177913388651,0.0,-142947.9896373042,-6086.377637963628,0.0,-149034.36727526784,18.0
47,1.9583333333333335,2.655037490384739,4.444296425824211,9.246639239920558,0.0,-147311.6400923065,-6145.252286959691,0.0,-153456.8923792662,18.0
48,2.0,7.1,5.8,9.244102420236935,0.0,-104640.0,-5530.666666666666,0.0,-110170.66666666667,18.0
49,2.0416666666666665,7.16474093005077,5.823851921597652,9.241567455642969,0.0,-104018.48707151262,-5519.853795542399,0.0,-109538.34086705501,18.0
50,2.0833333333333335,7.354551732809567,5.893782217350893,9.239034347442749,0.0,-102196.30336502817,-5488.152061467596,0.0,-107684.45542649577,18.0
51,2.125,7.65649711574556,6.005025253169417,9.236503096939458,0.0,-99297.62768884265,-5437.721885229864,0.0,-104735.34957407252,18.0
52,2.1666666666666665,8.049999999999997,6.149999999999999,9.233973705435325,0.0,-95520.00000000003,-5372.000000000001,0.0,-100892.00000000003,18.0
53,2.2083333333333335,8.50824381430521,6.318826668428235,9.231446174231616,0.0,-91120.85938266998,-5295.465243645866,0.0,-96416.32462631585,18.0
54,2.25,8.999999999999998,6.5,9.228920504628649,0.0,-86400.00000000001,-5213.333333333334,0.0,-91613.33333333334,18.0
55,2.2916666666666665,9.491756185694788,6.681173331571764,9.226396697925777,0.0,-81679.14061733003,-5131.201423020801,0.0,-86810.34204035084,18.0
56,2.3333333333333335,9.950000000000001,6.8500000000000005,9.223874755421347,0.0,-77279.99999999999,-5054.666666666666,0.0,-82334.66666666666,18.0
57,2.375,10.34350288425444,6.994974746830582,9.221354678412899,0.0,-73502.37231115738,-4988.944781436803,0.0,-78491.31709259418,18.0
58,2.4166666666666665,10.645448267190432,7.106217782649106,9.21883646819686,0.0,-70603.69663497186,-4938.514605199071,0.0,-75542.21124017093,18.0
59,2.4583333333333335,10.83525906994923,7.176148078402348,9.216320126068748,0.0,-68781.5129284874,-4906.812871124268,0.0,-73688.32579961166,18.0
60,2.5,10.9,7.2,9.21380565332312,0.0,-68160.0,-4896.000000000001,0.0,-73056.0,18.0
61,2.5416666666666665,10.835259069949231,7.176148078402348,9.211293051253575,0.0,-68781.51292848738,-4906.812871124268,0.0,-73688.32579961166,18.0
62,2.5833333333333335,10.645448267190435,7.106217782649107,9.208782321152741,0.0,-70603.69663497183,-4938.514605199071,0.0,-75542.2112401709,18.0
