hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
27,1.125,2.5,6.0600000000000005,8.52441747069993,0.0,-148800.0,-5412.8,0.0,-154212.8,154212.8
28,1.1666666666666667,2.65503749038474,6.0600000000000005,8.52441747069993,0.0,-147311.6400923065,-5412.8,0.0,-152724.4400923065,152724.4400923065
29,1.2083333333333333,3.1095844127808037,6.0600000000000005,8.52441747069993,0.0,-142947.9896373043,-5412.8,0.0,-148360.7896373043,148360.7896373043
30,1.25,3.832664145601209,6.0600000000000005,8.52441747069993,0.0,-136006.4242022284,-5412.8,0.0,-141419.2242022284,141419.2242022284
31,1.2916666666666667,4.775,6.0600000000000005,8.52441747069993,0.0,-126960.0,-5412.8,0.0,-132372.8,132372.8
32,1.3333333333333333,5.872373344783531,6.0600000000000005,8.52441747069993,0.0,-116425.2158900781,-5412.8,0.0,-121838.01589007811,121838.01589007811
33,1.375,7.05,6.0600000000000005,8.52441747069993,0.0,-105120.0,-5412.8,0.0,-110532.8,110532.8
34,1.4166666666666667,8.227626655216469,6.0600000000000005,8.52441747069993,0.0,-93814.78410992191,-5412.8,0.0,-99227.58410992191,99227.58410992191
35,1.4583333333333333,9.325,6.0600000000000005,8.52441747069993,0.0,-83280.0,-5412.8,0.0,-88692.8,88692.8
36,1.5,10.267335854398791,6.0600000000000005,8.52441747069993,0.0,-74233.57579777161,-5412.8,0.0,-79646.37579777162,79646.37579777162
37,1.5416666666666665,10.990415587219196,6.0600000000000005,8.52441747069993,0.0,-67292.01036269571,-5412.8,0.0,-72704.81036269572,72704.81036269572
38,1.5833333333333335,11.44496250961526,6.0600000000000005,8.52441747069993,0.0,-62928.3599076935,-5412.8,0.0,-68341.1599076935,68341.1599076935
39,1.625,11.6,6.0600000000000005,8.52441747069993,0.0,-61440.0,-5412.8,0.0,-66852.8,66852.8
