hi,lo
11.4,1.9
13.9,-1
15.5,-2.6
12.3,1.3
15.6,1.1
10.1,4.4
13.4,3.2
14.6,6
16.8,4.8
16.1,3.1
17.8,3.3
17.3,0.4
18.4,-1.3
20,-0.3
20.9,-0.6
14.6,2.3
11.1,6
15.6,5.1
12.6,8.2
12.1,4
12.6,1.6
13.2,8.3
13.8,5.4
10.6,3.3
14.1,6.6
11.7,2.2
12.2,2.5
10.3,4
12.1,5.1
14.3,6.8
16,8.9
12.7,7.4
11.6,3.1
13.3,1.9
15.1,1.1
13.1,5.8
15.9,9.1
11.2,5.9
13.8,2.8
15.8,0.9
14.7,2
13.8,-0.5
13.4,3.9
16.1,3.3
18.2,0.5
20.6,2.8
13.8,4.1
13.9,2.2
9.8,1.5
10.6,0.3
11.9,-0.6
14.8,4.9
9.5,5.6
14.3,6.6
16.3,7.3
12.8,7.1
13.1,3.3
13.3,1.2
12.6,0.1
11.1,-1.6
11.4,-0.7
12.9,1.4
17.4,5.3
19.3,4.5
21.1,6.6
23.8,6.1
25.2,6.1
23.5,5.1
23.3,4.2
20.1,9.6
21.4,8.2
18.9,7.9
19.8,4.3
13.2,7.3
14.2,6.1
15.6,3.3
17.5,3.6
18.9,3.6
18.5,10
16.3,6.2
12.3,3.8
14.1,3.7
13.8,5.4
18.7,5.7
16.4,8.4
17.8,5.6
18.4,8.3
15.9,6.9
18.8,3.9
17.2,2.6
18.1,4.2
19.9,4.9
18.6,5.8
14.6,8.5
20.6,9.9
18.1,8.1
22.3,10.7
23,7.8
24.3,8
26.2,8.6
24.9,10
25.3,12.4
24.8,10.9
21.3,8.7
18.5,9.5
19.7,7.4
26.8,14.1
23.3,13.2
27.8,10.4
29.2,14.3
23.6,11.5
19.3,8.8
21.2,10.8
22.1,8.9
17.7,10.2
20.6,11.1
22.5,8.2
13.2,10.6
21.7,11.1
15.9,11.3
18.1,11.2
22.4,12.3
22.2,11.6
22.6,9.6
24.9,10.6
22.1,10.9
20.5,12.8
21.9,13.9
25.9,10.5
23.6,12.7
24.7,10.9
26.5,17
26,16.3
21.9,13.9
23.1,12.8
22.1,13.3
32.3,12.1
26.7,15.8
24.8,13.6
24.5,10.2
23.9,10
27.4,9.3
29.1,14.8
23.2,14.4
22.4,11.5
22.6,10
22.8,14
27.3,15.8
28.1,16.8
27.2,17.4
23.1,15.3
21.8,12.8
22.5,12.6
29,10.3
26.9,12.9
25.6,15.6
21.1,11.9
26.3,15.6
26.4,12.9
31.1,15.6
34.8,15.4
36.6,19.3
37.9,18.1
29.3,19.8
21.1,15.4
23.2,14.6
27.6,12.6
23.3,15.3
24.6,16.6
28.6,16.3
26.8,14.6
25.3,13
28.4,13.9
26.8,15.9
26.2,14.8
25.9,13.7
28.4,13.4
27.6,16.6
22.1,15.8
24.3,13.6
18,11.2
22.9,9.8
17.9,12.1
23.8,10.9
19.6,11.6
24.6,15.4
22.6,12.8
23.2,11.8
22.8,11
24.6,10.8
26.2,10.2
28.1,13.3
30.3,11.4
32.6,13.3
33.4,14.3
33.4,15.3
28,17.9
26,14.1
26.6,12.1
26,11.2
22.3,10.6
23.7,7.3
24.4,14.2
21.8,14.1
19.9,11.3
18.8,9.7
19.6,9.3
20,6.8
14.9,8.2
20.2,7.3
22.8,13.4
26.3,13.1
22.9,11.1
24,6.9
27,9.4
19.2,13.8
20.1,9.3
20.4,5.7
22.1,6.3
20.3,7.4
22,10.8
24.4,13.3
22.2,12.1
21.4,14.1
22.3,14.1
21.2,13
18.5,11.9
19.3,11.2
19.7,12.9
18.6,9.8
20.9,10.6
14.9,4.8
16.2,2.1
18,10.4
16.9,10.9
17.1,10.1
15.6,8.1
18.2,10.1
16.1,9.3
17.4,8.3
17.1,12.3
12.7,10.7
17.1,9.9
15.3,9.4
17.8,9.6
17.3,7.1
15.6,6.9
15.6,9
15.1,6.2
12.1,3.1
12.3,9.7
14.7,5
15.7,3.3
14.5,8.6
16.3,8.5
17.1,6.4
12.2,2.5
11.7,-0.1
12.8,5.3
12.5,5.3
11.8,4.5
14.8,7.4
14.2,9.1
13.3,4.6
12.8,3.9
12.5,3.8
9.4,3.9
10.2,1.2
7.9,-0.9
8.1,-0.3
10.2,3.3
9.4,3.5
8.4,3.3
9.8,3
9.1,2.8
8.5,3.7
7.9,3.8
8.8,0.9
8.3,0.7
6.6,-2.8
7.4,-0.6
7.1,2.3
9.4,6.4
11.6,6.3
11.6,4.9
10.8,7.4
12.8,8.7
11.4,8.6
9.9,5.9
6.6,-1.1
7.2,-2.2
7,0.8
5.8,-1.9
8.4,0.1
7.3,-1.6
10.2,-2.8
12.8,7.7
10.4,6
11.1,5.7
8.3,-0.2
10.9,-1.3
8.2,1.4
7.6,-0.9
8,4.8
7.9,3.9
9.2,4.4
8.6,5.8
7.4,3.4
10.1,0.2
12.2,9
10.3,3.8
9.9,3.9
8.7,5.7
9.7,5.3
11.1,5.9
7.7,-0.6
8.9,-0.6
9.2,3.8
8.6,4.6
9.1,3.2
10,0.9
8.6,2.6
6.3,1.1
10.1,5.4
10.1,3.4
8.7,3.1
8.8,6.6
8.4,6.1
12.6,4.1
12.7,9.1
12.9,7
7.6,2.1
10.4,3.9
11.7,4.8
10.9,4.4
13.1,6.3
12.2,5
11.4,3.8
10,2.5
6.9,0.6
6.5,-1.1
6.4,-1.6
6.5,-3.1
6.9,3.9
8.3,6.2
7,5.5
6.3,4.3
10.1,5.5
9.4,4
7.4,2.1
8.8,2.4
12.6,6.4
12.9,8.5
11.9,7
13.3,5.9
11.5,4.4
9.4,2.8
9.4,0.5
10.3,-1.8
8.9,-1.8
10.6,5.5
12.6,7.8
9.7,2.9
8,3.4
8.8,2.4
10.3,4.8
12.1,0.7
12.7,9.5
13.3,5.5
11,5.1
11.3,3.4
8.7,2.4
10.8,3.4
10.9,3.4
14,8.7
14.9,4.8
11.8,4.9
9.7,2.6
9.1,1.3
8.2,1.2
10.8,-0.5
10.9,3.4
11.9,2.8
10.9,2.9
9.2,0.1
9.4,1
6,4.1
10.9,-0.3
13.1,-1.3
14.3,5.7
11.7,4.3
16.2,9.6
15.6,8.1
12.2,4.5
12.5,4.4
13.4,5.6
13.6,6.6
14.2,2.3
15.8,2.9
16.3,7.4
9.3,6.1
11.4,4.9
10.4,2.9
10.8,1.7
11.1,1.5
15.4,-1.5
13.3,-1.8
13.9,-1.7
14.6,2.3
10.8,4.1
7.8,1.8
11.9,1.8
10.8,0.9
10.4,-2.4
15.2,3.6
14.4,4.8
18.4,1.3
21.9,3.1
19.4,6.9
19.8,2.8
21.6,6.8
22.1,6.4
20.9,6.3
24.4,5.9
25.4,7.9
12.4,5.9
14.4,3.1
17.7,0.6
20.8,2
16.3,7.4
15.3,6.8
19,6.8
18.1,5.7
18.3,8.3
21.3,6.8
22.9,4.9
22.8,5.3
15.9,5.2
20.9,1.9
20,5.5
9.8,6.9
14.6,6.8
16.4,5.8
14.6,6.3
19.3,6.4
16.1,6.3
17.6,7.7
15.5,5.9
18.5,3.8
23.7,3.9
24.8,8.4
24.3,7.8
19.9,6.4
13.7,4.2
17.9,0.9
13.1,4.8
15.4,1.7
20.5,1.1
19.9,6.5
22.7,6.3
25.7,10.7
27.8,12.6
29,12.6
29.6,12.8
24.6,14
20.9,11.3
23.3,11.1
27.4,9
28,11.4
24.3,10.5
20.9,9.6
22.9,8.1
24.4,9
23.7,10.8
25.6,10.4
26.7,10
21.8,12
17.6,10.4
18,9.8
16.2,7.3
18.2,6.6
17,8.8
19.9,5.3
13.9,10.8
21.2,10.4
21.5,12.6
25.8,12.8
25.9,11.8
26.9,12.1
26.6,12.6
26.4,12.9
23,13.1
22.1,11.8
25.1,10.8
24.6,14.3
26.3,9.6
28.6,12.2
30.3,14
30.6,16.3
31.9,16.4
22.8,15.1
22.6,11.9
21,11.4
20,14
24,14.8
21.8,12.5
23.5,12.1
21.9,15.2
23.4,13.9
23,12.1
22.6,11.2
20.7,13.9
20.8,15.3
20.7,12.6
21.4,9.6
25.6,9.1
26.8,10.4
22.2,15.4
19.7,10.6
22.1,15.2
29.6,17.3
28,15.5
22.1,12.7
24.7,9.7
23.1,9.1
27.5,13.1
28,15
25.5,16.5
24,14.1
24.8,12.5
21.9,15.1
22.8,12.9
26,9.7
31.1,13
36,14.9
28.6,15.9
26.4,13.3
25,13.3
26.6,9.6
29.2,14.9
30.7,18.3
36.6,14.4
34.6,19.6
32.7,17.1
34.1,18.6
34.4,20.1
34.7,19.4
27.2,17.9
20.6,17.3
21.1,18.1
25.1,15.8
23.6,14.3
25.5,14.4
21.2,14.4
27.4,16.3
24.6,17.2
24.9,16.3
23.9,15.3
24.5,12.9
22.5,15.2
22.3,14
20,12.7
19.6,11.8
15.8,11.4
18.6,11.6
18.6,9.6
21.5,6.9
21.7,7.6
23.4,14.6
20.6,13.3
19.9,9.9
20.8,8.3
21.1,8.4
26.2,16.6
23.9,11.9
20.5,7.4
21.1,7.4
22.5,10.3
26.1,11.4
28,9.8
30.3,12.3
25.5,14.8
21.6,11.8
21.1,9.3
24.3,13.1
25.1,13.8
23.8,11.6
26.1,11.3
19.6,10.6
17.1,7.3
14,6.8
12.4,6.6
13,9.4
18.7,10
17.1,10.2
18.7,8.6
16.8,8.8
13.8,9.9
15.3,10.6
10.6,8.8
16.8,9.6
17.3,10.4
16.8,8.8
18.7,7.9
14.2,4.8
13.6,5.2
14.8,5.9
