hi,lo
11.1,2
12.1,5.4
11.3,4.7
12.1,3.9
12.3,8.7
10.4,4
7.2,5.6
8.7,5.8
9.4,2.9
8,4.2
7.4,4.8
5.3,3.5
8.1,2.6
5.9,1.2
3.9,-1.4
2.3,-2.9
2.6,-3.8
2.9,-4.2
0.6,-5.3
1.9,-1.9
1.5,-4.6
0.1,-3.8
-0.9,-7.1
0.4,-6.9
3.4,-7.8
7,-4.6
13,6.9
12.9,2.8
9.9,2.8
10.2,3.3
11.1,6.2
9.3,5.6
11.3,7.9
9.5,3.3
9.3,1.9
10.9,8.8
9.4,4.4
12.5,3.9
13.4,11.5
11.9,7.1
8.7,-0.6
12.3,-0.5
13.8,9.7
13,8.2
11.9,5.4
11.9,6.3
10.1,2.9
8.5,3.7
12.1,2.8
10.9,7
12.6,7.8
10.3,5.7
11.7,5.6
9.1,1.1
4.9,-2.9
0.8,-6.2
4,-3.6
4.4,-2.8
6.3,-0.5
6.2,-3.3
4.6,-5.4
3.6,-5.2
5,2.6
5.4,-0.1
7.9,1.7
7.6,-0.6
6.8,0.6
8.9,4.2
9.6,1.8
11.6,2.4
10,4.3
12.2,5.8
13.1,7.8
10.4,7.9
9.2,1.7
10.6,-0.7
8.9,-2.5
8.1,-4.9
10.4,-2.1
9,-3.6
11.6,5
9.4,5.9
12.6,0.2
15.1,-1.2
16.1,-1.5
12,6.8
15.3,10.1
15.6,9.6
14.5,6.6
14.8,5.8
13.6,4.9
9.3,4.6
9.4,-1
10.9,-1.8
9.2,1.4
8.1,0.8
9.1,-2.3
7.3,-0.6
7.9,3.3
10.4,-1.1
7.1,1.7
8.1,4.1
6.4,2.6
8.9,-1.4
6.7,-2.3
3,-1.6
6.1,1.7
7.4,-1.8
9.8,-3.9
14.2,4.2
15.3,10.1
11.5,2.2
9.7,-2.3
15.1,6.3
14.3,7.7
15.8,6.1
12.1,5.2
12.8,7.5
15.6,8.6
16.4,9.9
16.3,8.2
14.8,6.8
15.3,7
8.5,4.3
12.1,0.1
8.3,1.1
16.3,7.7
17,10.1
12.2,9.2
11.3,7.1
12.9,3.3
13.2,1.4
14.8,-2.2
17.1,-1.3
16.3,5.8
17.2,3.6
15.3,0.5
18.8,6.1
16.4,7.8
16.3,5.5
14.3,4.4
16.6,4.9
12.3,1.2
17.5,4.6
18.1,2.9
17,7.4
12.4,6.3
16.5,5.6
16.1,3.9
14.1,5.9
16.8,2.1
13.9,7.9
14.8,5.1
14.7,0.8
15.1,2.9
14.4,3.7
19,8.9
19.6,4.3
19.8,4
19.9,8.8
16.4,6.3
15.7,3.2
18.6,6.3
21.6,8.6
18.4,8.5
23.6,11.9
18.8,7.9
21.1,10.3
21.5,8.5
21.6,9.4
12.7,8.9
14.6,8.9
20.6,7.8
16.5,6.2
20.3,4.9
18.6,6.2
20.1,5.9
19.9,5.8
21.3,7.3
18.5,6.4
21.5,9
20.1,7.9
23.4,6.8
18.3,8.6
20.6,7.6
21.5,6.6
23.8,4.6
18.9,7
15.6,7.7
19.7,9.4
20.4,9.6
19.2,8.8
24,7.6
23.5,8.5
19.5,9.1
17.3,10.8
23,9.8
24.2,10.1
27.6,9.9
30.3,13.2
31.9,15.3
29.9,16.1
29.3,11.5
28.9,9.6
29.2,10.8
29.1,11.1
25.6,9.3
29.1,14.1
28.3,13.6
26.7,15.4
29.1,13.9
30.4,14.6
29.9,12.8
30.3,15
33.7,14.8
25.9,13.8
25.7,13.3
25.6,18.3
24.9,14.9
22.2,11.2
24.2,15.4
22.1,11.6
23.1,11.5
20.9,12.1
23.3,10.5
24.7,10.8
30.8,10.4
29.1,17.5
25.1,16.5
20.7,13.3
26.8,16.8
25.1,13.9
24.4,12.3
18.7,13.2
23.8,14.9
23.4,14.9
25.9,12
26.4,12.2
26.3,15.4
25.1,12.3
22.2,11.3
20,13.4
26.1,15.3
18.1,13.8
23,10.4
25.8,9.6
22.9,14.9
25.7,15.7
26.1,15.8
23.2,14.9
21.3,15.6
24.7,13.9
20.5,14.9
24.4,14.4
24.4,13.4
18.3,11.9
20.9,9.8
23.6,9.6
18.9,10.7
26.9,10
29.2,13.3
26.5,16.9
24,14.4
24.9,14.9
26.3,14.8
27.1,12.3
27.1,13.1
25.2,14.6
23.4,17.4
27.3,15.6
28.6,13.9
27.6,13.4
28.2,14.7
29.3,12.9
25.8,15.9
24.6,13.4
22.9,11.1
20.8,10.8
23.9,11.8
22.2,11.6
21.9,10.1
19.5,9
24.6,14.4
24.7,14.7
27.1,13.1
28.8,13.4
30.7,14
32.1,14.9
32.2,14.9
32.2,14.9
33.9,16.8
34.2,16.4
28.1,18.1
25.1,14.6
23.1,12.9
26.3,11
27.3,10.2
28.4,11.5
20.1,15.1
21.9,13.4
19.7,12.2
22.1,13.6
18.2,11.4
20.5,9.6
20.1,8.5
21.4,9.3
24.6,13.8
25.6,11
21.5,12.4
20.2,14.9
21.8,12.4
21.1,9.3
23.8,12.2
22.5,14.6
19.8,11.9
19.1,10.8
21,12
22.8,13.2
25.3,14.3
26.9,11.3
27.6,11.6
26.4,12.3
21.6,14.6
15.6,12.1
20.8,8.7
15.6,6.4
13.2,3.3
13.4,-0.1
11.5,9.9
15.6,9.9
20.5,13.1
15,11.8
16.1,9.8
16.8,5.8
14.5,4.3
15.4,5.4
13.8,5.4
15.6,5.5
15.4,5.3
14.5,5.6
11.8,7.4
13.9,5.8
14.7,3.6
13.2,8.4
11.1,7.9
12.9,6.3
12.6,3.5
12.9,7.1
12.6,6.2
12,4.8
12.7,4.5
10.6,4.8
9,3.7
9.9,1.3
9.4,1.6
15.4,7.7
11.9,7.4
11.3,3.9
7.9,3.6
10.1,3.1
14.4,6.3
13.6,9.8
11.7,5.5
10.8,6.1
9.6,3.4
13.2,6.6
10.3,1.6
5.6,-0.1
7.1,-1.3
8.9,4.5
6.2,1.6
3.7,-3.3
4.8,-4.1
4.5,-1.9
-0.2,-2.8
6.8,-2.8
6.4,4.5
6.5,2.4
3.9,-1.7
6.8,2.4
9.9,5
11.9,6.1
10.1,6.8
11.4,3.5
10.7,4.7
7.6,4.8
7.1,2.3
8.7,4.1
10.9,5.8
10.1,7.4
11.7,7.7
11.9,4.4
9.8,3.8
12.8,9.3
11.3,8.6
11.7,8.5
14.4,10.1
12.6,9.8
9.8,2.9
10.8,4.1
11.4,9.2
9.9,5.6
10.8,4.9
11,5.1
